Variable, Descriptions
BSNTY53,"SOLE PROP, PARTNER, CORP, RD 5/3 CMJ"
CABLADDR,CANCER DIAGNOSED - BLADDER (>17)
CABREAST,CANCER DIAGNOSED - BREAST (>17)
CACERVIX,CANCER DIAGNOSED - CERVICAL (>17)
CACOLON,CANCER DIAGNOSED - COLON (>17)
CALUNG,CANCER DIAGNOSED - LUNG (>17)
CALYMPH,"CANCER DIAGNOSED - LYMPHOMA (NON-
HODGKIN'S) (>17)"
CAMELANO,CANCER DIAGNOSED - SKIN MELANOMA (>17)
CANCERDX,CANCER DIAGNOSIS (>17)
CAOTHER,CANCER DIAGNOSED - OTHER (>17)
CAPROSTA,CANCER DIAGNOSED - PROSTATE (>17)
CASKINDK,CANCER DIAGNOSED-SKIN-UNKNOWN TYPE (>17)
CASKINNM,CANCER DIAGNOSED - SKIN-NONMELANO (>17)
CAUTERUS,CANCER DIAGNOSED - UTERINE (>17)
CHBMIX42,CHILD'S BODY MASS INDEX (6 -17) - R4/2
CHBRON31,CHRONC BRONCHITS LAST 12 MTHS (>17)-R3/1
CHCOUN42,CSHCN:CHILD NEEDS COUNSELING (0-17)-R4/2
CHDAGED,AGE OF DIAGNOSIS-CORONARY HEART DISEASE
CHDDX,CORONARY HRT DISEASE DIAG (>17)
CHEMPB42,CSHCN:COUNS PROB LAST 12+MOS (0-17)-R4/2
CHGJ3142,CHANGED JOB BETWEEN RD 3/1 AND RD 4/2
CHGJ4253,CHANGED JOB BETWEEN RD 4/2 AND RD 5/3
CHLICO42,CSHCN:LIMIT COND LAST 12+MOS (0-17)-R4/2
CHLIHB42,CSHCN:LIMT FOR HLTH/BEHV COND(0-17)-R4/2
CHLIMI42,CSHCN:LIMITED IN ANY WAY (0-17)-R4/2
CHOIC31,CHOICE OF HEALTH PLANS AT RD 3/1 CMJ
CHOIC42,CHOICE OF HEALTH PLANS AT RD 4/2 CMJ
CHOIC53,CHOICE OF HEALTH PLANS AT RD 5/3 CMJ
CHOLAGED,AGE OF DIAGNOSIS-HIGH CHOLESTEROL
CHOLDX,HIGH CHOLESTEROL DIAGNOSIS (>17)
CHPMCN42,CSHCN:PMED COND LAST 12+ MOS (0-17)-R4/2
CHPMED42,CSHCN:CHILD NEEDS PRESCRB MED(0-17)-R4/2
CHPMHB42,CSHCN:PMED FOR HLTH/BEHV COND(0-17)-R4/2
CHSERV42,CSHCN:CHLD NEEDS MED/OTH SERV(0-17)-R4/2
CHSRCN42,CSHCN:SERV COND LAST 12+ MOS (0-17)-R4/2
CHSRHB42,CSHCN:SERV FOR HLTH/BEHV COND(0-17)-R4/2
CHTHCO42,CSHCN:THER COND LAST 12+ MOS (0-17)-R4/2
CHTHER42,CSHCN:CHLD NEEDS SPEC THERAPY(0-17)-R4/2
CHTHHB42,CSHCN:SPEC THER FOR HLTH+COND(0-17)-R4/2
COGLIM31,COGNITIVE LIMITATIONS - RD 3/1
COVAXEVR31,EVER HAD COVID-19 VACCINE - RD 3/1
COVAXEVR42,EVER HAD COVID-19 VACCINE - RD 4/2
COVAXEVR53,EVER HAD COVID-19 VACCINE - RD 5/3
COVAXNEW53,"HAD COVID-19 VACCINE SINCE PRIOR ROUND - RD
5/3"
COVID12MO53,HAD COVID-19 IN THE PAST 12 MONTHS - RD 5/3
COVIDEVER53,EVER HAD COVID-19 - RD 5/3
COVMNTHX53,MONTH LAST HAD COVID-19 - RD 5/3
COVREDABIL53,"REDUCED ABILITY FROM LONG COVID-19
SYMPTOMS- RD 5/3"
COVSYMNOW53,"HAS COVID-19 OR LONG COVID-19 SYMPTOMS
NOW - RD 5/3"
COVYRDX53,YEAR LAST HAD COVID-19 - RD 5/3
CRFMPY42,FAMILY MED BILLS BEING PAID OVER TIME
CSHCN42,CSHCN:CHILD W/SPEC HC NEEDS (0-17)-R4/2
DATAYEAR,SURVEY DATA YEAR
DDNWRK22,# DAYS MISSED WORK DUE TO ILL/INJ 2022
DECIDE42,PROV ASKS PERS TO HELP DECIDE-R4/2
DENTIN31,DENTAL INSURANCE - ANY TIME IN RD 3/1
DENTIN42,DENTAL INSURANCE - ANY TIME IN RD 4/2
DENTIN53_M23,DENTAL INSURANCE - ANY TIME IN RD 5/3
DFCOG42,SERIOUS COGNITIVE DIFFICULTIES-RD 4/2
DFDRSB42,DIFFICULTY DRESSING/BATHING-RD 4/2
DFERND42,DIFFICULTY DOING ERRANDS ALONE-RD 4/2
DFHEAR42,SERIOUS DIFFICULTY HEARING-RD 4/2
DFSEE42,SERIOUS DIFFICULTY SEE W/GLASSES-RD 4/2
DFWLKC42,SERIOUS DIFCULTY WLK/CLIMB STAIRS-RD 4/2
DIABAGED,AGE OF DIAGNOSIS-DIABETES
DIABDX_M18,DIABETES DIAGNOSIS
DIFFWG31,PERSONS WAGES DIFFERENT THIS RD 3/1 AT CMJ
DIFFWG42,PERSONS WAGES DIFFERENT THIS RD 4/2 AT CMJ
DIFFWG53,PERSONS WAGES DIFFERENT THIS RD 5/3 AT CMJ
DISVW31X,DISAVOWED HEALTH INS AT RD 3/1 CMJ (ED)
DISVW42X,DISAVOWED HEALTH INS AT RD 4/2 CMJ (ED)
DISVW53X,DISAVOWED HEALTH INS AT RD 5/3 CMJ (ED)
DLAYCA42,DELAY MED CARE FOR COST-R4/2
DLAYDN42,DELAY GETTING DENTAL FOR COST-R4/2
DLAYPM42,DELAY GETTING PMED FOR COST-R4/2
DNTINS22_M23,DENTL INS-ANY TIME IN R5/R3 TIL 12/31/22
DNTINS31,DENTAL INS - ANY TIME IN RD 3/1 IN 2022
DOBMM,DATE OF BIRTH: MONTH
DOBYY,DATE OF BIRTH: YEAR
DUID,PANEL # + ENCRYPTED DU IDENTIFIER
DUPERSID,PERSON ID (DUID + PID)
EATHLT42,DR ADVISE EAT HEALTHY (2-17)-R4/2
EDUCYR,YEARS OF EDUC WHEN FIRST ENTERED MEPS
ELGRND22,ELIGIBILITY STATUS AS OF 12/31/22
ELGRND31,ELIGIBILITY - R3/1
ELGRND42,ELIGIBILITY - R4/2
ELGRND53,ELIGIBILITY - R5/3
EMPHAGED,AGE OF DIAGNOSIS-EMPHYSEMA
EMPHDX,EMPHYSEMA DIAGNOSIS (>17)
EMPST31,EMPLOYMENT STATUS RD 3/1
EMPST42,EMPLOYMENT STATUS RD 4/2
EMPST53,EMPLOYMENT STATUS RD 5/3
ENDRFM22,2022 REFERENCE PERIOD END DATE: MONTH
ENDRFM31,R3/1 REFERENCE PERIOD END DATE: MONTH
ENDRFM42,R4/2 REFERENCE PERIOD END DATE: MONTH
ENDRFM53,R5/3 REFERENCE PERIOD END DATE: MONTH
ENDRFY22,2022 REFERENCE PERIOD END DATE: YEAR
ENDRFY31,R3/1 REFERENCE PERIOD END DATE: YEAR
ENDRFY42,R4/2 REFERENCE PERIOD END DATE: YEAR
ENDRFY53,R5/3 REFERENCE PERIOD END DATE: YEAR
EVRETIRE,PERSON HAS EVER RETIRED
EVRWRK,EVER WRKD FOR PAY IN LIFE AS OF 12/31/22
EXPLOP42,PROV EXPLNS OPTIONS TO PERS-R4/2
FAMID22,FAMILY ID (STUDENT MERGED IN) - 12/31/22
FAMID31,FAMILY ID (STUDENT MERGED IN) - R3/1
FAMID42,FAMILY ID (STUDENT MERGED IN) - R4/2
FAMID53,FAMILY ID (STUDENT MERGED IN) - R5/3
FAMIDYR,ANNUAL FAMILY IDENTIFIER
FAMRFPYR,REFERENCE PERSON OF ANNUALIZED FAMILY
FAMS1231,FAMILY SIZE OF RESPONDING 12/31 FAMILY
FAMSZE22,RU SIZE INCLUDING STUDENT AS OF 12/31/22
FAMSZE31,RU SIZE INCLUDING STUDENTS - R3/1
FAMSZE42,RU SIZE INCLUDING STUDENTS - R4/2
FAMSZE53,RU SIZE INCLUDING STUDENTS - R5/3
FAMSZEYR,SIZE OF RESPONDING ANNUALIZED FAMILY
FMRS1231,MEMBER OF RESPONDING 12/31 FAMILY
FNGRDF31,DIFFICULTY USING FINGERS TO GRASP - RD 3/1
FSAGT31,ANYONE IN RU HAVE FSA - R3/1
FTSTU22X,STUDENT STATUS IF AGES 17-23 - 12/31/22
FTSTU31X,STUDENT STATUS IF AGES 17-23 - R3/1
FTSTU42X,STUDENT STATUS IF AGES 17-23 - R4/2
FTSTU53X,STUDENT STATUS IF AGES 17-23 - R5/3
GENDRP42,IS PROVIDER MALE OR FEMALE-R4/2
GOVAAT22,CV OTH PUB-ANY TME IN R5/3 TIL 12/31/22
GOVAAT31,COV BY OTHER PUBLIC-ANY TIME IN R3/1
GOVAAT42,COV BY OTHER PUBLIC-ANY TIME IN R4/2
GOVAAT53,COV BY OTHER PUBLIC-ANY TIME IN R5/3
GOVBAT22,COV OTH PB HMO-ANY TM R5/3 TIL 12/31/22
GOVBAT31,COV BY OTH PUB HMO-ANY TIME IN R3/1
GOVBAT42,COV BY OTH PUB HMO-ANY TIME IN R4/2
GOVBAT53,COV BY OTH PUB HMO-ANY TIME IN R5/3
GOVCAT22,CV OTH PUB PAYS PREM- R5/3 TIL 12/31/22
GOVCAT31,CV BY OTH PUB PAYS PREM-ANY TIME IN R3/1
GOVCAT42,CV BY OTH PUB PAYS PREM-ANY TIME IN R4/2
GOVCAT53,CV BY OTH PUB PAYS PREM-ANY TIME IN R5/3
GOVTA22,COV BY OTHER PUBLIC COV - 12/31/22
GOVTA31,COV BY OTHER PUBLIC COV - R3/1 INT DT
GOVTA42,COV BY OTHER PUBLIC COV - R4/2 INT DT
GOVTA53,COV BY OTHER PUBLIC COV 12-31/R3 INT DT
GOVTB22,COV BY OTH PUB HMO - 12/31/22
GOVTB31,COV BY OTH PUB HMO - R3/1 INT DT
GOVTB42,COV BY OTH PUB HMO - R4/2 INT DT
GOVTB53,COV BY OTH PUB HMO 12-31/R3 INT DT
GOVTC22,COV BY OTH PUB PAYS PREM - 12/31/22
GOVTC31,COV BY OTH PUB PAYS PREM - R3/1 INT DT
GOVTC42,COV BY OTH PUB PAYS PREM - R4/2 INT DT
GOVTC53,COV BY OTH PUB PAYS PREM 12-31/R3 INT DT
GVAAP22,COV BY OTHER PUBLIC COVERAGE IN APR22
GVAAU22,COV BY OTHER PUBLIC COVERAGE IN AUG22
GVADE22,COV BY OTHER PUBLIC COVERAGE IN DEC22
GVAEV22,EVER HAVE OTHER PUBLIC DURING 2022
GVAFE22,COV BY OTHER PUBLIC COVERAGE IN FEB22
GVAJA22,COV BY OTHER PUBLIC COVERAGE IN JAN22
GVAJL22,COV BY OTHER PUBLIC COVERAGE IN JUL22
GVAJU22,COV BY OTHER PUBLIC COVERAGE IN JUN22
GVAMA22,COV BY OTHER PUBLIC COVERAGE IN MAR22
GVAMY22,COV BY OTHER PUBLIC COVERAGE IN MAY22
GVANO22,COV BY OTHER PUBLIC COVERAGE IN NOV22
GVAOC22,COV BY OTHER PUBLIC COVERAGE IN OCT22
GVASE22,COV BY OTHER PUBLIC COVERAGE IN SEP22
GVBAP22,COV BY OTHER PUBLIC HMO IN APR22
GVBAU22,COV BY OTHER PUBLIC HMO IN AUG22
GVBDE22,COV BY OTHER PUBLIC HMO IN DEC22
GVBEV22,EVER HAVE OTHER PUBLIC HMO DURING 2022
GVBFE22,COV BY OTHER PUBLIC HMO IN FEB22
GVBJA22,COV BY OTHER PUBLIC HMO IN JAN22
GVBJL22,COV BY OTHER PUBLIC HMO IN JUL22
GVBJU22,COV BY OTHER PUBLIC HMO IN JUN22
GVBMA22,COV BY OTHER PUBLIC HMO IN MAR22
GVBMY22,COV BY OTHER PUBLIC HMO IN MAY22
GVBNO22,COV BY OTHER PUBLIC HMO IN NOV22
GVBOC22,COV BY OTHER PUBLIC HMO IN OCT22
GVBSE22,COV BY OTHER PUBLIC HMO IN SEP22
GVCAP22,COV BY OTHER PUBLIC PAYS PREM IN APR22
GVCAU22,COV BY OTHER PUBLIC PAYS PREM IN AUG22
GVCDE22,COV BY OTHER PUBLIC PAYS PREM IN DEC22
GVCEV22,EVER HAVE OTH PUB PAYS PREM DURING 2022
GVCFE22,COV BY OTHER PUBLIC PAYS PREM IN FEB22
GVCJA22,COV BY OTHER PUBLIC PAYS PREM IN JAN22
GVCJL22,COV BY OTHER PUBLIC PAYS PREM IN JUL22
GVCJU22,COV BY OTHER PUBLIC PAYS PREM IN JUN22
GVCMA22,COV BY OTHER PUBLIC PAYS PREM IN MAR22
GVCMY22,COV BY OTHER PUBLIC PAYS PREM IN MAY22
GVCNO22,COV BY OTHER PUBLIC PAYS PREM IN NOV22
GVCOC22,COV BY OTHER PUBLIC PAYS PREM IN OCT22
GVCSE22,COV BY OTHER PUBLIC PAYS PREM IN SEP22
HASFSA31,PERSON IS FSA HOLDER - R3/1
HAVEUS42,DOES PERSON HAVE USC PROVIDER-R4/2
HELD31X,HEALTH INSUR HELD FROM RD 3/1 CMJ (ED)
HELD42X,HEALTH INSUR HELD FROM RD 4/2 CMJ (ED)
HELD53X,HEALTH INSUR HELD FROM RD 5/3 CMJ (ED)
HELMET42,DR ADVISE BIKE HELMET (2-17)-R4/2
HIBPAGED,AGE OF DIAGNOSIS-HIGH BLOOD PRESSURE
HIBPDX,HIGH BLOOD PRESSURE DIAG (>17)
HIDEG,HIGHEST DEGREE WHEN FIRST ENTERED MEPS
HISPANX,HISPANIC ETHNICITY (EDITED/IMPUTED)
HISPNCAT,HISPANIC ETHNICITY (EDITED/IMPUTED)
HOUR31,HOURS PER WEEK AT RD 3/1 CMJ
HOUR42,HOURS PER WEEK AT RD 4/2 CMJ
HOUR53,HOURS PER WEEK AT RD 5/3 CMJ
HPDAP22,PHOLDER OF PRIV INS (SOURCE UNKNWN) APR22
HPDAU22,PHOLDER OF PRIV INS (SOURCE UNKNWN) AUG22
HPDDE22,PHOLDER OF PRIV INS (SOURCE UNKNWN) DEC22
HPDFE22,PHOLDER OF PRIV INS (SOURCE UNKNWN) FEB22
HPDJA22,PHOLDER OF PRIV INS (SOURCE UNKNWN) JAN22
HPDJL22,PHOLDER OF PRIV INS (SOURCE UNKNWN) JUL22
HPDJU22,PHOLDER OF PRIV INS (SOURCE UNKNWN) JUN22
HPDMA22,PHOLDER OF PRIV INS (SOURCE UNKNWN) MAR22
HPDMY22,PHOLDER OF PRIV INS (SOURCE UNKNWN) MAY22
HPDNO22,PHOLDER OF PRIV INS (SOURCE UNKNWN) NOV22
HPDOC22,PHOLDER OF PRIV INS (SOURCE UNKNWN) OCT22
HPDSE22,PHOLDER OF PRIV INS (SOURCE UNKNWN) SEP22
HPEAP22,PHOLDER OF EMPL UNION INS IN APR22
HPEAU22,PHOLDER OF EMPL UNION INS IN AUG22
HPEDE22,PHOLDER OF EMPL UNION INS IN DEC22
HPEFE22,PHOLDER OF EMPL UNION INS IN FEB22
HPEJA22,PHOLDER OF EMPL UNION INS IN JAN22
HPEJL22,PHOLDER OF EMPL UNION INS IN JUL22
HPEJU22,PHOLDER OF EMPL UNION INS IN JUN22
HPEMA22,PHOLDER OF EMPL UNION INS IN MAR22
HPEMY22,PHOLDER OF EMPL UNION INS IN MAY22
HPENO22,PHOLDER OF EMPL UNION INS IN NOV22
HPEOC22,PHOLDER OF EMPL UNION INS IN OCT22
HPESE22,PHOLDER OF EMPL UNION INS IN SEP22
HPNAP22,PHOLDER OF NONGROUP INS IN APR22
HPNAU22,PHOLDER OF NONGROUP INS IN AUG22
HPNDE22,PHOLDER OF NONGROUP INS IN DEC22
HPNFE22,PHOLDER OF NONGROUP INS IN FEB22
HPNJA22,PHOLDER OF NONGROUP INS IN JAN22
HPNJL22,PHOLDER OF NONGROUP INS IN JUL22
HPNJU22,PHOLDER OF NONGROUP INS IN JUN22
HPNMA22,PHOLDER OF NONGROUP INS IN MAR22
HPNMY22,PHOLDER OF NONGROUP INS IN MAY22
HPNNO22,PHOLDER OF NONGROUP INS IN NOV22
HPNOC22,PHOLDER OF NONGROUP INS IN OCT22
HPNSE22,PHOLDER OF NONGROUP INS IN SEP22
HPOAP22,PHOLDER OF OTHER GROUP INS IN APR22
HPOAU22,PHOLDER OF OTHER GROUP INS IN AUG22
HPODE22,PHOLDER OF OTHER GROUP INS IN DEC22
HPOFE22,PHOLDER OF OTHER GROUP INS IN FEB22
HPOJA22,PHOLDER OF OTHER GROUP INS IN JAN22
HPOJL22,PHOLDER OF OTHER GROUP INS IN JUL22
HPOJU22,PHOLDER OF OTHER GROUP INS IN JUN22
HPOMA22,PHOLDER OF OTHER GROUP INS IN MAR22
HPOMY22,PHOLDER OF OTHER GROUP INS IN MAY22
HPONO22,PHOLDER OF OTHER GROUP INS IN NOV22
HPOOC22,PHOLDER OF OTHER GROUP INS IN OCT22
HPOSE22,PHOLDER OF OTHER GROUP INS IN SEP22
HPRAP22,PHOLDER OF PRIVATE INSURANCE IN APR22
HPRAU22,PHOLDER OF PRIVATE INSURANCE IN AUG22
HPRDE22,PHOLDER OF PRIVATE INSURANCE IN DEC22
HPRFE22,PHOLDER OF PRIVATE INSURANCE IN FEB22
HPRJA22,PHOLDER OF PRIVATE INSURANCE IN JAN22
HPRJL22,PHOLDER OF PRIVATE INSURANCE IN JUL22
HPRJU22,PHOLDER OF PRIVATE INSURANCE IN JUN22
HPRMA22,PHOLDER OF PRIVATE INSURANCE IN MAR22
HPRMY22,PHOLDER OF PRIVATE INSURANCE IN MAY22
HPRNO22,PHOLDER OF PRIVATE INSURANCE IN NOV22
HPROC22,PHOLDER OF PRIVATE INSURANCE IN OCT22
HPRSE22,PHOLDER OF PRIVATE INSURANCE IN SEP22
HPXAP22,PHOLDER OF PRIV INS THROUGH EXCH IN APR22
HPXAU22,PHOLDER OF PRIV INS THROUGH EXCH IN AUG22
HPXDE22,PHOLDER OF PRIV INS THROUGH EXCH IN DEC22
HPXFE22,PHOLDER OF PRIV INS THROUGH EXCH IN FEB22
HPXJA22,PHOLDER OF PRIV INS THROUGH EXCH IN JAN22
HPXJL22,PHOLDER OF PRIV INS THROUGH EXCH IN JUL22
HPXJU22,PHOLDER OF PRIV INS THROUGH EXCH IN JUN22
HPXMA22,PHOLDER OF PRIV INS THROUGH EXCH IN MAR22
HPXMY22,PHOLDER OF PRIV INS THROUGH EXCH IN MAY22
HPXNO22,PHOLDER OF PRIV INS THROUGH EXCH IN NOV22
HPXOC22,PHOLDER OF PRIV INS THROUGH EXCH IN OCT22
HPXSE22,PHOLDER OF PRIV INS THROUGH EXCH IN SEP22
HRHOW31,HOW HOURLY WAGE WAS CALCULATED RD 3/1
HRHOW42,HOW HOURLY WAGE WAS CALCULATED RD 4/2
HRHOW53,HOW HOURLY WAGE WAS CALCULATED RD 5/3
HRWG31X,HOURLY WAGE RD 3/1 CMJ (IMP)
HRWG42X,HOURLY WAGE RD 4/2 CMJ (IMP)
HRWG53X,HOURLY WAGE RD 5/3 CMJ (IMP)
HRWGIM31,HRWG31X IMPUTATION FLAG
HRWGIM42,HRWG42X IMPUTATION FLAG
HRWGIM53,HRWG53X IMPUTATION FLAG
HSELIM31,HOUSEWORK LIMITATION - RD 3/1
HSPLAP42,IS PROVIDER HISPANIC OR LATINO-R4/2
HWELLSPK,HOW WELL PERSON SPEAKS ENGLISH
IADLHP31,IADL SCREENER - RD 3/1
IHS22,COV BY IHS - 12/31/22
IHS31,CV BY INDIAN HEALTH SERVICE- R3/1 INT DT
IHS42,CV BY INDIAN HEALTH SERVICE- R4/2 INT DT
IHS53,CV BY IHS 12-31/R3 INT DT
IHSAP22,COV BY INDIAN HEALTH SERVICE IN APR22
IHSAT22,COV BY IHS-ANY TME IN R5/3 TIL 12/31/22
IHSAT31,COV BY IHS - ANY TIME IN R3/1
IHSAT42,COV BY IHS - ANY TIME IN R4/2
IHSAT53,COV BY IHS - ANY TIME IN R5/3
IHSAU22,COV BY INDIAN HEALTH SERVICE IN AUG22
IHSDE22,COV BY INDIAN HEALTH SERVICE IN DEC22
IHSFE22,COV BY INDIAN HEALTH SERVICE IN FEB22
IHSJA22,COV BY INDIAN HEALTH SERVICE IN JAN22
IHSJL22,COV BY INDIAN HEALTH SERVICE IN JUL22
IHSJU22,COV BY INDIAN HEALTH SERVICE IN JUN22
IHSMA22,COV BY INDIAN HEALTH SERVICE IN MAR22
IHSMY22,COV BY INDIAN HEALTH SERVICE IN MAY22
IHSNO22,COV BY INDIAN HEALTH SERVICE IN NOV22
IHSOC22,COV BY INDIAN HEALTH SERVICE IN OCT22
IHSSE22,COV BY INDIAN HEALTH SERVICE IN SEP22
INDCAT31,INDUSTRY GROUP RD 3/1 CMJ
INDCAT42,INDUSTRY GROUP RD 4/2 CMJ
INDCAT53,INDUSTRY GROUP RD 5/3 CMJ
INS22X,INSURED - 12/31/22 (ED)
INS31X,INSURED - R3/1 INT DATE (ED)
INS42X,INSURED - R4/2 INT DATE (ED)
INS53X,INSURED 12-31/R3 INT DATE (ED)
INSAP22X,COVR BY HOSP/MED INS IN APR22
INSAT22X,INSURED ANY TIME IN R5/R3 UNTIL 12/31/22
INSAT31X,INSURED ANY TIME IN R3/1
INSAT42X,INSURED ANY TIME IN R4/2
INSAT53X,INSURED ANY TIME IN R5/3
INSAU22X,COVR BY HOSP/MED INS IN AUG22
INSC1231,INSCOPE STATUS ON 12/31/22
INSCOP22,INSCOPE - R5/3 START THROUGH 12/31/22
INSCOP31,INSCOPE - R3/1
INSCOP42,INSCOPE - R4/2
INSCOP53,INSCOPE - R5/3
INSCOPE,WAS PERSON EVER INSCOPE IN 2022
INSCOV22,HEALTH INSURANCE COVERAGE INDICATOR 2022
INSDE22X,COVR BY HOSP/MED INS IN DEC22
INSFE22X,COVR BY HOSP/MED INS IN FEB22
INSJA22X,COVR BY HOSP/MED INS IN JAN22
INSJL22X,COVR BY HOSP/MED INS IN JUL22
INSJU22X,COVR BY HOSP/MED INS IN JUN22
INSMA22X,COVR BY HOSP/MED INS IN MAR22
INSMY22X,COVR BY HOSP/MED INS IN MAY22
INSNO22X,COVR BY HOSP/MED INS IN NOV22
INSOC22X,COVR BY HOSP/MED INS IN OCT22
INSSE22X,COVR BY HOSP/MED INS IN SEP22
INSURC22,FULL YEAR INSURANCE COVERAGE STATUS 2022
INTVLANG,LANGUAGE INTERVIEW WAS COMPLETED
INTVTYPE31,"WAS INTERVIEW IN-PERSON, BY PHONE, OR BY
VIDEO R3/1"
INTVTYPE42,"WAS INTERVIEW IN-PERSON, BY PHONE, OR BY
VIDEO R4/2"
INTVTYPE53,"WAS INTERVIEW IN-PERSON, BY PHONE, OR BY
VIDEO R5/3"
JOBORG31,"PRIV (PROFIT,NONPROFIT) GOV RD 3/1 CMJ"
JOBORG42,"PRIV (PROFIT,NONPROFIT) GOV RD 4/2 CMJ"
JOBORG53,"PRIV (PROFIT,NONPROFIT) GOV RD 5/3 CMJ"
JTPAIN31_M18,JOINT PAIN LAST 12 MONTHS (>17) - RD 3/1
KEYNESS,PERSON KEY STATUS
LAPBLT42,DR ADVISE LAP/SHOULDER BELT (80<WT)-R4/2
LCEVER53,"EVER HAD COVID-19 SYMPTOMS LASTING >= 3
MONTHS - RD 5/3"
LFTDIF31,DIFFICULTY LIFTING 10 POUNDS - RD 3/1
LOCATN42,USC LOCATION-R4/2
LSTETH53,LOST ALL UPPR AND LOWR TEETH (>17) - RD 5/3
MARRY22X,MARITAL STATUS-12/31/22 (EDITED/IMPUTED)
MARRY31X,MARITAL STATUS - R3/1 (EDITED/IMPUTED)
MARRY42X,MARITAL STATUS - R4/2 (EDITED/IMPUTED)
MARRY53X,MARITAL STATUS - R5/3 (EDITED/IMPUTED)
MCAID22,COV BY MEDICAID OR SCHIP - 12/31/22
MCAID22X,COV BY MEDICAID OR SCHIP - 12/31/22 (ED)
MCAID31,COV BY MEDICAID OR SCHIP - R3/1 INT DT
MCAID31X,COV BY MEDICAID/SCHIP - R3/1 INT DT (ED)
MCAID42,COV BY MEDICAID OR SCHIP - R4/2 INT DT
MCAID42X,COV BY MEDICAID/SCHIP - R4/2 INT DT (ED)
MCAID53,COV BY MEDICAID OR SCHIP 12-31/R3 INT DT
MCAID53X,COV MEDICAID/SCHIP 12-31/R3 INT DT(ED)
MCARE22,COV BY MEDICARE - 12/31/22
MCARE22X,COV BY MEDICARE - 12/31/22 (ED)
MCARE31,COV BY MEDICARE - R3/1 INT DT
