Variable,Description
hsnread,h21. subject areas taught now - reading
hsnspell,h21. subject areas taught now - spelling
hsnengl,h21. subject areas taught now - english
hsncomsci,h21. subject areas taught now - computer science
hsnhist,h21. subject areas taught now - social studies
hsnfolang,h21. subject areas taught now - foreign language
hsnphyed,h21. subject areas taught now - physical education
hsnhealth,h21. subject areas taught now - health
hsassnx,h25. participate in homeschool group
hsfreqx,h26. participate in homeschool group - times
hsnatl,h27. member of homeschool organization
fostory2x,"e42/h22. in the past week, times child has been told"
focrafts,"e42/h22. in the past week, time spent on arts and"
fogames,"e42/h22. in the past week, played board games"
fobuildx,"e42/h22. in the past week, worked on a project"
fosport,"e42/h22. in the past week, time spent playing sports"
forespon,"e42/h22. in the past week, discussed time management"
fohistx,"e42/h22. in the past week, discussed ethnic heritage"
fodinnerx,e43/h23. eaten the evening meal together in the past
folibrayx,e44/h24. visited a library in the past month
fobookstx,e44/h24. visited a bookstore in the past month
foconcrtx,e44/h24. gone to a play in the past month
fomuseumx,e44/h24. visited an art gallery in the past month
fozoox,e44/h24. visited a zoo in the past month
fogroupx,e44/h24. attended a religious event in the past month
fosprtevx,e44/h24. attended a sporting event in the past month
hdhealth,e45/h28. health of child
hdintdis,e46/h29. intellectual disability
hdspeechx,e46/h29. speech or language impairment
hddistrbx,e46/h29. serious emotional disturbance
hddeafimx,e46/h29. deafness or another hearing impairment
hdblindx,e46/h29. blindness or another visual impairment
hdorthox,e46/h29. orthopedic impairment
hdautismx,e46/h29. autism
hdpddx,e46/h29. pervasive developmental disorder
hdaddx,e46/h29. attention deficit disorder
hdlearnx,e46/h29. learning disability
hddelayx,e46/h29. developmental delay
hdtrbrain,e46/h29. traumatic brain injury
hdotherx,e46/h29. another health impairment
hdrecser,e48/h31. receiving services for condition
hdschlx,e49/h32. local school district provides services
hdgovtx,e49/h32. local health or service agency provides
hddoctorx,"e49/h32. doctor, clinic, or other provider provides"
hdprisch,e49/h32. this child’s private school provides
hdiepx,e50/h33. services provided by iep
hddeviepx,e51/h34. develop/change iep
hdcommux,e52/h35. satisfied with service provider
hdtchr,e52/h35. satisfied with special needs
hdaccomx,e52/h35. satisfied with ability to accommodate
hdcommitx,e52/h35. satisfied with commitment to help child
hdspcled,e53/h36. enrollment in special education classes
hdlearn,e54/h37. condition interferes with learning
hdplay,e54/h37. condition interferes with participation in
hdout,e54/h37. condition interferes with attending school
hdfrnds,e54/h37. condition interferes with making friends
cdobmm,e55/h38. month born
cdobyy,e55/h38. year born
cplcbrth,e56/h39. country where child born
cmoveage,e57/h40. age of child when first moved to us
chispan,"e58/h41. child spanish, hispanic, or latino"
camind,e59/h42. child race - american indian or alaska
casian,e59/h42. child race - asian
cblack,e59/h42. child race - black or african american
cpaci,e59/h42. child race - native hawaiian or other
cwhite,e59/h42. child race - white
chisprm,e59/h42. child hispanic - race not reported
csex,e60/h43. child sex
clivyn,e61/h44. child lives at another address
clivelswx,e62/h45. child spends most time
cspeakx,e63/h46. language spoken by child at home
cenglprg,e64/h47. enrolled in language program
hhtotalxx,e65/h48. total people in household
hhbrosx,e66/h49. brothers
hhsissx,e66/h49. sisters
hhmom,e66/h49. mother
hhdad,e66/h49. father
hhauntsx,e66/h49. aunts
hhunclsx,e66/h49. uncles
hhgmasx,e66/h49. grandmothers
hhgpasx,e66/h49. grandfathers
hhcsnsx,e66/h49. cousins
hhprtnrsx,e66/h49. parent's girlfriend/boyfriend/partner
hhorelsx,e66/h49. other relatives
hhonrelsx,e66/h49. other non-relatives
relation,e67/h50. respondent relation to child
hhenglish,e68/h51. language spoken at home - english
hhspanish,e68/h51. language spoken at home - spanish
hhfrench,e68/h51. language spoken at home - french
hhchinese,e68/h51. language spoken at home - chinese
hhothlang,e68/h51. language spoken at home - other
p1rel,e69/h52. first parent/guardian relation to child
p1sex,e70/h53. first parent/guardian sex
p1mrsta,e71/h54. first parent/guardian marital status
p1bfgf,e72/h55. first parent/guardian living with
p1frlng,e73/h56. first parent/guardian first language
p1speak,e74/h57. first parent/guardian language spoken most
p1diffi,e75. first parent/guardian difficulty participating
p1scint,e76. first parent/guardian interpreters at school
p1wrmtl,e77. first parent/guardian written materials at
p1plcbrth,e78/h58. first parent/guardian country where born
p1agemv,e79/h59. first parent/guardian age when first moved
p1hispan,"e80/h60. first parent/guardian of spanish, hispanic,"
p1amind,e81/h61. first parent/guardian race - american
p1asian,e81/h61. first parent/guardian race - asian
p1black,e81/h61. first parent/guardian race - black or
p1paci,e81/h61. first parent/guardian race - native
p1white,e81/h61. first parent/guardian race - white
p1hisprm,"e81/h61. first parent/guardian race - hispanic, race"
p1educ,e82/h62. first parent/guardian highest grade level
p1enrl,e83/h63. first parent/guardian attending school
p1empl,e84/h64. first parent/guardian employment status
p1hrswk,e85/h65. first parent/guardian hours worked per week
p1lkwrk,e86/h66. first parent/guardian looking for work
p1mthswrk,e87/h67. first parent/guardian months worked
p1age,e88/h68. first parent/guardian age
p1agepar,e89/h69. first parent/guardian age when became parent
p1agepardk,e89/h69. first parent/guardian age when became
p2guard,e90/h70. second parent/guardian
p2rel,e91/h71. second parent/guardian relation to child
p2sex,e92/h72. second parent/guardian sex
p2mrsta,e93/h73. second parent/guardian marital status
p2bfgf,e94/h74. second parent/guardian living with
p2frlng,e95/h75. second parent/guardian first language
p2speak,e96/h76. second parent/guardian language spoken most
p2diffi,e97. second parent/guardian difficulty participating
p2scint,e98. second parent/guardian interpreters at school
p2wrmtl,e99. second parent/guardian written materials at
p2plcbrth,e100/h77. second parent/guardian country where born
p2agemv,e101/h78. second parent/guardian age when first
p2hispan,"e102/h79. second parent/guardian of spanish,"
p2amind,e103/h80. second parent/guardian race - american
p2asian,e103/h80. second parent/guardian race - asian
p2black,e103/h80. second parent/guardian race - black or
p2paci,e103/h80. second parent/guardian race - native
p2white,e103/h80. second parent/guardian race - white
p2hisprm,"e103/h80. second parent/guardian race - hispanic,"
p2educ,e104/h81. second parent/guardian highest grade level
p2enrl,e105/h82. second parent/guardian attending school
p2empl,e106/h83. second parent/guardian employment status
p2hrswk,e107/h84. second parent/guardian hours worked per
p2lkwrk,e108/h85. second parent/guardian looking for work
p2mthswrk,e109/h86. second parent/guardian months worked
p2age,e110/h87. second parent/guardian age
p2agepar,e111/h88. second parent/guardian age when became
p2agepardk,e111/h88. second parent/guardian age when became
hwelftan,e112/h89. received tanf in past 12 months
hwelfst,e112/h89. received welfare or family assistance in
hwic,e112/h89. received wic in past 12 months
hfoodst,e112/h89. received food stamps in past 12 months
hmedicaid,e112/h89. received medicaid in past 12 months
hchip,e112/h89. received chip in past 12 months
hsecn8,e112/h89. received section 8 in past 12 months
ttlhhinc,e113/h90. total income
yrsaddr,e114/h91. years at address
ownrnthb,e115/h92. own/rent house
hvintspho,e116/h93. internet access on cell phone
hvintcom,e117/h94. internet access on computer or tablet
useintrnt,e118/h95. how often use internet
disabltyx,d-child currently has disability
disblty2x,"d-child has disability including autism, add, and pdd"
par1educ,d-educational attainment of child's parent or
par1empl,d-work status of child's parent or guardian
par1ftfy,d-parent 1 or guardian 1 works full time
par1marst,d-parent 1 marital status
par1type,d-specific relationship of parent/guardian 1 to child
par2educ,d-educational attainment of child's parent 2 or
par2empl,d-work status of child's parent 2 or guardian 2
par2ftfy,d-parent 2 or guardian 2 works full time
par2marst,d-parent 2 marital status
par2type,d-specific relationship of parent/guardian 2 to child
hhparn16x,d-parents in household including same sex
hhparn16_brd,d-parents or guardians in household including same
numsibsx,d-number of child's siblings
family16x,d-family type including same sex parents/partners
family16_brd,d-family type parent 2
hhundr6x,d-number of household members younger than age 6
hhundr10x,d-number of household members younger than age 10
hhundr16x,d-number of household members younger than age 16
hhundr18x,d-number of household members younger than age 18
hhunid,"d-other household member, not identified"
languagex,d-english spoken most by parents including same sex
pargradex,d-parent/guardian highest education
raceethn,d-race and ethnicity of child
raceeth2,d-detailed race and ethnicity of child
intacc,d-internet access
allgradex,d-child's enrollment and grade equivalent
hmschlx,d-child is homeschooled part or full time
cenreg,d-census region where child lives
zip18po2,d-percent of families in zipcode with children under
zipblhi2,d-percent of persons in zipcode who were black or
ziplocl,d-zip code classification by community type
s16chart,"d-school charter, magnet/regular public, other on ccd"
s16numst,d-total school enrollment of students on ccd/pss
s16pbpv,d-school is public or private on ccd/pss
s16type,d-type of school on ccd/pss
schlgrad,d-classification of child's school
englspanx,d-questionnaire in english or spanish
age2015,"d-age of child as of dec 31, 2015"
modecomp,d-completed on web or paper
hhmage1,d-hh member 1 age
hhmage2,d-hh member 2 age
hhmage3,d-hh member 3 age
hhmage4,d-hh member 4 age
hhmage5,d-hh member 5 age
hhmage6,d-hh member 6 age
hhmage7,d-hh member 7 age
hhmage8,d-hh member 8 age
hhmage9,d-hh member 9 age
hhmsex1,d-hh member 1 sex
hhmsex2,d-hh member 2 sex
hhmsex3,d-hh member 3 sex
hhmsex4,d-hh member 4 sex
hhmsex5,d-hh member 5 sex
hhmsex6,d-hh member 6 sex
hhmsex7,d-hh member 7 sex
hhmsex8,d-hh member 8 sex
hhmsex9,d-hh member 9 sex
hhmenrl1,d-hh member 1 enrollment status
hhmenrl2,d-hh member 2 enrollment status
hhmenrl3,d-hh member 3 enrollment status
hhmenrl4,d-hh member 4 enrollment status
hhmenrl5,d-hh member 5 enrollment status
hhmenrl6,d-hh member 6 enrollment status
hhmenrl7,d-hh member 7 enrollment status
hhmenrl8,d-hh member 8 enrollment status
hhmenrl9,d-hh member 9 enrollment status
hhmgrd1,d-hh member 1 grade level
hhmgrd2,d-hh member 2 grade level
hhmgrd3,d-hh member 3 grade level
hhmgrd4,d-hh member 4 grade level
hhmgrd5,d-hh member 5 grade level
hhmgrd6,d-hh member 6 grade level
hhmgrd7,d-hh member 7 grade level
hhmgrd8,d-hh member 8 grade level
hhmgrd9,d-hh member 9 grade level
ppsu,psu for taylor series var est
pstratum,stratum for taylor series var est
fpwt,final intv weight
fpwt1,"final intv replicate weight, fpwt1"
fpwt2,"final intv replicate weight, fpwt2"
fpwt3,"final intv replicate weight, fpwt3"
fpwt4,"final intv replicate weight, fpwt4"
fpwt5,"final intv replicate weight, fpwt5"
fpwt6,"final intv replicate weight, fpwt6"
fpwt7,"final intv replicate weight, fpwt7"
fpwt8,"final intv replicate weight, fpwt8"
fpwt9,"final intv replicate weight, fpwt9"
fpwt10,"final intv replicate weight, fpwt10"
fpwt11,"final intv replicate weight, fpwt11"
fpwt12,"final intv replicate weight, fpwt12"
fpwt13,"final intv replicate weight, fpwt13"
fpwt14,"final intv replicate weight, fpwt14"
fpwt15,"final intv replicate weight, fpwt15"
fpwt16,"final intv replicate weight, fpwt16"
fpwt17,"final intv replicate weight, fpwt17"
fpwt18,"final intv replicate weight, fpwt18"
fpwt19,"final intv replicate weight, fpwt19"
fpwt20,"final intv replicate weight, fpwt20"
fpwt21,"final intv replicate weight, fpwt21"
fpwt22,"final intv replicate weight, fpwt22"
fpwt23,"final intv replicate weight, fpwt23"
fpwt24,"final intv replicate weight, fpwt24"
fpwt25,"final intv replicate weight, fpwt25"
fpwt26,"final intv replicate weight, fpwt26"
fpwt27,"final intv replicate weight, fpwt27"
fpwt28,"final intv replicate weight, fpwt28"
fpwt29,"final intv replicate weight, fpwt29"
fpwt30,"final intv replicate weight, fpwt30"
fpwt31,"final intv replicate weight, fpwt31"
fpwt32,"final intv replicate weight, fpwt32"
fpwt33,"final intv replicate weight, fpwt33"
fpwt34,"final intv replicate weight, fpwt34"
fpwt35,"final intv replicate weight, fpwt35"
fpwt36,"final intv replicate weight, fpwt36"
fpwt37,"final intv replicate weight, fpwt37"
fpwt38,"final intv replicate weight, fpwt38"
fpwt39,"final intv replicate weight, fpwt39"
fpwt40,"final intv replicate weight, fpwt40"
fpwt41,"final intv replicate weight, fpwt41"
fpwt42,"final intv replicate weight, fpwt42"
fpwt43,"final intv replicate weight, fpwt43"
fpwt44,"final intv replicate weight, fpwt44"
fpwt45,"final intv replicate weight, fpwt45"
fpwt46,"final intv replicate weight, fpwt46"
fpwt47,"final intv replicate weight, fpwt47"
fpwt48,"final intv replicate weight, fpwt48"
fpwt49,"final intv replicate weight, fpwt49"
fpwt50,"final intv replicate weight, fpwt50"
fpwt51,"final intv replicate weight, fpwt51"
fpwt52,"final intv replicate weight, fpwt52"
fpwt53,"final intv replicate weight, fpwt53"
fpwt54,"final intv replicate weight, fpwt54"
fpwt55,"final intv replicate weight, fpwt55"
fpwt56,"final intv replicate weight, fpwt56"
fpwt57,"final intv replicate weight, fpwt57"
fpwt58,"final intv replicate weight, fpwt58"
fpwt59,"final intv replicate weight, fpwt59"
fpwt60,"final intv replicate weight, fpwt60"
fpwt61,"final intv replicate weight, fpwt61"
fpwt62,"final intv replicate weight, fpwt62"
fpwt63,"final intv replicate weight, fpwt63"
fpwt64,"final intv replicate weight, fpwt64"
fpwt65,"final intv replicate weight, fpwt65"
fpwt66,"final intv replicate weight, fpwt66"
fpwt67,"final intv replicate weight, fpwt67"
fpwt68,"final intv replicate weight, fpwt68"
fpwt69,"final intv replicate weight, fpwt69"
fpwt70,"final intv replicate weight, fpwt70"
fpwt71,"final intv replicate weight, fpwt71"
fpwt72,"final intv replicate weight, fpwt72"
fpwt73,"final intv replicate weight, fpwt73"
fpwt74,"final intv replicate weight, fpwt74"
fpwt75,"final intv replicate weight, fpwt75"
fpwt76,"final intv replicate weight, fpwt76"
fpwt77,"final intv replicate weight, fpwt77"
fpwt78,"final intv replicate weight, fpwt78"
fpwt79,"final intv replicate weight, fpwt79"
fpwt80,"final intv replicate weight, fpwt80"
f_grade,imputation flag for grade
f_scpubpri,imputation flag for scpubpri
f_distassi,imputation flag for distassi
f_schrtschl,imputation flag for schrtschl
f_sneighbrx,imputation flag for sneighbrx
f_spubchoix,imputation flag for spubchoix
f_sconsidr,imputation flag for sconsidr
f_sperform,imputation flag for sperform
f_s1stchoi,imputation flag for s1stchoi
f_ssamsc,imputation flag for ssamsc
f_smvmth,imputation flag for smvmth
f_seenjoy,imputation flag for seenjoy
f_segrades,imputation flag for segrades
f_seadplcxx,imputation flag for seadplcxx
f_sebehavx,imputation flag for sebehavx
f_seschwrk,imputation flag for seschwrk
f_segbehav,imputation flag for segbehav
f_segwork,imputation flag for segwork
f_seabsnt,imputation flag for seabsnt
f_serepeat,imputation flag for serepeat
f_sereptk,imputation flag for sereptk
f_serept1,imputation flag for serept1
f_serept2,imputation flag for serept2
f_serept3,imputation flag for serept3
f_serept4,imputation flag for serept4
f_serept5,imputation flag for serept5
f_serept6,imputation flag for serept6
f_serept7,imputation flag for serept7
f_serept8,imputation flag for serept8
f_serept9,imputation flag for serept9
f_serept10,imputation flag for serept10
f_serept11,imputation flag for serept11
f_serept12,imputation flag for serept12
f_sesusout,imputation flag for sesusout
f_sesuspin,imputation flag for sesuspin
f_seexpel,imputation flag for seexpel
f_sefuturex,imputation flag for sefuturex
f_segradeq,imputation flag for segradeq
f_snetcrsx,imputation flag for snetcrsx
f_spbsch,imputation flag for spbsch
f_sstate,imputation flag for sstate
f_schrtr,imputation flag for schrtr
f_sapbsch,imputation flag for sapbsch
f_sprivsch,imputation flag for sprivsch
f_sunivsch,imputation flag for sunivsch
f_sothsch,imputation flag for sothsch
f_sinstfee,imputation flag for sinstfee
f_homeschlx,imputation flag for homeschlx
f_hmscharr,imputation flag for hmscharr
f_fssportx,imputation flag for fssportx
f_fsvol,imputation flag for fsvol
f_fsmtng,imputation flag for fsmtng
f_fsptmtng,imputation flag for fsptmtng
f_fsatcnfn,imputation flag for fsatcnfn
f_fsfundrs,imputation flag for fsfundrs
f_fscommte,imputation flag for fscommte
f_fscounslr,imputation flag for fscounslr
f_fsfreq,imputation flag for fsfreq
f_fsnotesx,imputation flag for fsnotesx
f_fsmemo,imputation flag for fsmemo
f_fsphonchx,imputation flag for fsphonchx
f_fsspperf,imputation flag for fsspperf
f_fssphw,imputation flag for fssphw
f_fsspcour,imputation flag for fsspcour
f_fssprole,imputation flag for fssprole
f_fsspcoll,imputation flag for fsspcoll
f_fcschool,imputation flag for fcschool
f_fcteachr,imputation flag for fcteachr
f_fcstds,imputation flag for fcstds
f_fcorder,imputation flag for fcorder
f_fcsupprt,imputation flag for fcsupprt
f_fhhome,imputation flag for fhhome
f_fhwkhrs,imputation flag for fhwkhrs
f_fhamount,imputation flag for fhamount
f_fhcamt,imputation flag for fhcamt
f_fhplace,imputation flag for fhplace
f_fhcheckx,imputation flag for fhcheckx
f_fhhelp,imputation flag for fhhelp
f_hswhox,imputation flag for hswhox
f_hstutor,imputation flag for hstutor
f_hscoop,imputation flag for hscoop
f_hscoll,imputation flag for hscoll
f_hspublic,imputation flag for hspublic
f_hsprivate,imputation flag for hsprivate
f_hscollege,imputation flag for hscollege
f_hsschr,imputation flag for hsschr
f_gradeeq,imputation flag for gradeeq
f_hsdays,imputation flag for hsdays
f_hshours,imputation flag for hshours
f_hskactiv,imputation flag for hskactiv
f_hsstyl,imputation flag for hsstyl
f_hsclibrx,imputation flag for hsclibrx
f_hschspubx,imputation flag for hschspubx
f_hscedpubx,imputation flag for hscedpubx
f_hscorgx,imputation flag for hscorgx
f_hscchurx,imputation flag for hscchurx
f_hscpublx,imputation flag for hscpublx
f_hscprivx,imputation flag for hscprivx
f_hscrelx,imputation flag for hscrelx
f_hscnetx,imputation flag for hscnetx
f_hscoth,imputation flag for hscoth
f_hscvtlcr,imputation flag for hscvtlcr
f_hscours,imputation flag for hscours
f_hsintnet,imputation flag for hsintnet
f_hsintpub,imputation flag for hsintpub
f_hsintch,imputation flag for hsintch
f_hsintapb,imputation flag for hsintapb
f_hsintpri,imputation flag for hsintpri
f_hsintcol,imputation flag for hsintcol
f_hsintst,imputation flag for hsintst
f_hsintoh,imputation flag for hsintoh
f_hsfee,imputation flag for hsfee
f_homekx,imputation flag for homekx
f_home1,imputation flag for home1
f_home2,imputation flag for home2
f_home3,imputation flag for home3
f_home4,imputation flag for home4
f_home5,imputation flag for home5
f_home6,imputation flag for home6
f_home7,imputation flag for home7
f_home8,imputation flag for home8
f_home9,imputation flag for home9
f_home10,imputation flag for home10
f_home11,imputation flag for home11
f_home12,imputation flag for home12
f_hssafetyx,imputation flag for hssafetyx
f_hsdissatx,imputation flag for hsdissatx
f_hsrelgon,imputation flag for hsrelgon
f_hsmoral,imputation flag for hsmoral
f_hsdisablx,imputation flag for hsdisablx
f_hsillx,imputation flag for hsillx
f_hsspclndx,imputation flag for hsspclndx
f_hsaltx,imputation flag for hsaltx
f_hsotherx,imputation flag for hsotherx
f_hsmostx,imputation flag for hsmostx
f_hsfuturex,imputation flag for hsfuturex
f_hsart,imputation flag for hsart
f_hsmusic,imputation flag for hsmusic
f_hsarith,imputation flag for hsarith
f_hsalg1,imputation flag for hsalg1
f_hsalg2,imputation flag for hsalg2
f_hsgeom,imputation flag for hsgeom
f_hscalc,imputation flag for hscalc
f_hsprob,imputation flag for hsprob
f_hsscien,imputation flag for hsscien
f_hsgeol,imputation flag for hsgeol
f_hsbiol,imputation flag for hsbiol
f_hschem,imputation flag for hschem
f_hsgeog,imputation flag for hsgeog
f_hsread,imputation flag for hsread
f_hsspell,imputation flag for hsspell
f_hsengl,imputation flag for hsengl
f_hscomsci,imputation flag for hscomsci
f_hshist,imputation flag for hshist
f_hsfolang,imputation flag for hsfolang
f_hsphyed,imputation flag for hsphyed
f_hshealth,imputation flag for hshealth
f_hsnart,imputation flag for hsnart
f_hsnmusic,imputation flag for hsnmusic
f_hsnarith,imputation flag for hsnarith
f_hsnalg1,imputation flag for hsnalg1
f_hsnalg2,imputation flag for hsnalg2
f_hsngeom,imputation flag for hsngeom
f_hsncalc,imputation flag for hsncalc
f_hsnprob,imputation flag for hsnprob
f_hsnscien,imputation flag for hsnscien
f_hsngeol,imputation flag for hsngeol
f_hsnbiol,imputation flag for hsnbiol
f_hsnchem,imputation flag for hsnchem
f_hsngeog,imputation flag for hsngeog
f_hsnread,imputation flag for hsnread
f_hsnspell,imputation flag for hsnspell
f_hsnengl,imputation flag for hsnengl
f_hsncomsci,imputation flag for hsncomsci
f_hsnhist,imputation flag for hsnhist
f_hsnfolang,imputation flag for hsnfolang
f_hsnphyed,imputation flag for hsnphyed
f_hsnhealth,imputation flag for hsnhealth
f_hsassnx,imputation flag for hsassnx
f_hsfreqx,imputation flag for hsfreqx
f_hsnatl,imputation flag for hsnatl
f_fostory2x,imputation flag for fostory2x
f_focrafts,imputation flag for focrafts
f_fogames,imputation flag for fogames
f_fobuildx,imputation flag for fobuildx
f_fosport,imputation flag for fosport
f_forespon,imputation flag for forespon
f_fohistx,imputation flag for fohistx
f_fodinnerx,imputation flag for fodinnerx
f_folibrayx,imputation flag for folibrayx
f_fobookstx,imputation flag for fobookstx
f_foconcrtx,imputation flag for foconcrtx
f_fomuseumx,imputation flag for fomuseumx
f_fozoox,imputation flag for fozoox
f_fogroupx,imputation flag for fogroupx
f_fosprtevx,imputation flag for fosprtevx
f_hdhealth,imputation flag for hdhealth
f_hdlearnx,imputation flag for hdlearnx
f_hdintdis,imputation flag for hdintdis
f_hdspeechx,imputation flag for hdspeechx
f_hddistrbx,imputation flag for hddistrbx
