Variable,Descriptions
v062_cihigh,Mental health providers CI high
v062_other_data_1,Ratio of population to mental health providers.
v005_rawvalue,Preventable hospital stays raw value
v005_numerator,Preventable hospital stays numerator
v005_denominator,Preventable hospital stays denominator
v005_cilow,Preventable hospital stays CI low
v005_cihigh,Preventable hospital stays CI high
v005_race_aian,Preventable hospital stays (AIAN)
v005_race_asian,Preventable hospital stays (Asian/Pacific Islander)
v005_race_black,Preventable hospital stays (Black)
v005_race_hispanic,Preventable hospital stays (Hispanic)
v005_race_white,Preventable hospital stays (White)
v050_rawvalue,Mammography screening raw value
v050_numerator,Mammography screening numerator
v050_denominator,Mammography screening denominator
v050_cilow,Mammography screening CI low
v050_cihigh,Mammography screening CI high
v050_race_aian,Mammography screening (AIAN)
v050_race_asian,Mammography screening (Asian/Pacific Islander)
v050_race_black,Mammography screening (Black)
v050_race_hispanic,Mammography screening (Hispanic)
v050_race_white,Mammography screening (White)
v155_rawvalue,Flu vaccinations raw value
v155_numerator,Flu vaccinations numerator
v155_denominator,Flu vaccinations denominator
v155_cilow,Flu vaccinations CI low
v155_cihigh,Flu vaccinations CI high
v155_race_aian,Flu vaccinations (AIAN)
v155_race_asian,Flu vaccinations (Asian/Pacific Islander)
v155_race_black,Flu vaccinations (Black)
v155_race_hispanic,Flu vaccinations (Hispanic)
v155_race_white,Flu vaccinations (White)
v168_rawvalue,High school completion raw value
v168_numerator,High school completion numerator
v168_denominator,High school completion denominator
v168_cilow,High school completion CI low
v168_cihigh,High school completion CI high
v069_rawvalue,Some college raw value
v069_numerator,Some college numerator
v069_denominator,Some college denominator
v069_cilow,Some college CI low
v069_cihigh,Some college CI high
v023_rawvalue,Unemployment raw value
v023_numerator,Unemployment numerator
v023_denominator,Unemployment denominator
v023_cilow,Unemployment CI low
v023_cihigh,Unemployment CI high
v024_rawvalue,Children in poverty raw value
v024_numerator,Children in poverty numerator
v024_denominator,Children in poverty denominator
v024_cilow,Children in poverty CI low
v024_cihigh,Children in poverty CI high
v024_race_aian,Children in poverty (AIAN)
v024_race_aian_cilow,Children in poverty CI low (AIAN)
v024_race_aian_cihigh,Children in poverty CI high (AIAN)
v024_race_asian,Children in poverty (Asian/Pacific Islander)
v024_race_asian_cilow,Children in poverty CI low (Asian/Pacific Islander)
v024_race_asian_cihigh,Children in poverty CI high (Asian/Pacific Islander)
v024_race_black,Children in poverty (Black)
v024_race_black_cilow,Children in poverty CI low (Black)
v024_race_black_cihigh,Children in poverty CI high (Black)
v024_race_hispanic,Children in poverty (Hispanic)
v024_race_hispanic_cilow,Children in poverty CI low (Hispanic)
v024_race_hispanic_cihigh,Children in poverty CI high (Hispanic)
v024_race_white,Children in poverty (White)
v024_race_white_cilow,Children in poverty CI low (White)
v024_race_white_cihigh,Children in poverty CI high (White)
v044_rawvalue,Income inequality raw value
v044_numerator,Income inequality numerator
v044_denominator,Income inequality denominator
v044_cilow,Income inequality CI low
v044_cihigh,Income inequality CI high
v082_rawvalue,Children in single-parent households raw value
v082_numerator,Children in single-parent households numerator
v082_denominator,Children in single-parent households denominator
v082_cilow,Children in single-parent households CI low
v082_cihigh,Children in single-parent households CI high
v140_rawvalue,Social associations raw value
v140_numerator,Social associations numerator
v140_denominator,Social associations denominator
v140_cilow,Social associations CI low
v140_cihigh,Social associations CI high
v043_rawvalue,Violent crime raw value
v043_numerator,Violent crime numerator
v043_denominator,Violent crime denominator
v043_cilow,Violent crime CI low
v043_cihigh,Violent crime CI high
v135_rawvalue,Injury deaths raw value
v135_numerator,Injury deaths numerator
v135_denominator,Injury deaths denominator
v135_cilow,Injury deaths CI low
v135_cihigh,Injury deaths CI high
v135_race_aian,Injury deaths (AIAN)
v135_race_aian_cilow,Injury deaths CI low (AIAN)
v135_race_aian_cihigh,Injury deaths CI high (AIAN)
v135_race_asian,Injury deaths (Asian/Pacific Islander)
v135_race_asian_cilow,Injury deaths CI low (Asian/Pacific Islander)
v135_race_asian_cihigh,Injury deaths CI high (Asian/Pacific Islander)
v135_race_black,Injury deaths (Black)
v135_race_black_cilow,Injury deaths CI low (Black)
v135_race_black_cihigh,Injury deaths CI high (Black)
v135_race_hispanic,Injury deaths (Hispanic)
v135_race_hispanic_cilow,Injury deaths CI low (Hispanic)
v135_race_hispanic_cihigh,Injury deaths CI high (Hispanic)
v135_race_white,Injury deaths (White)
v135_race_white_cilow,Injury deaths CI low (White)
v135_race_white_cihigh,Injury deaths CI high (White)
v125_rawvalue,Air pollution - particulate matter raw value
v125_numerator,Air pollution - particulate matter numerator
v125_denominator,Air pollution - particulate matter denominator
v125_cilow,Air pollution - particulate matter CI low
v125_cihigh,Air pollution - particulate matter CI high
v124_rawvalue,Drinking water violations raw value
v124_numerator,Drinking water violations numerator
v124_denominator,Drinking water violations denominator
v124_cilow,Drinking water violations CI low
v124_cihigh,Drinking water violations CI high
v136_rawvalue,Severe housing problems raw value
v136_numerator,Severe housing problems numerator
v136_denominator,Severe housing problems denominator
v136_cilow,Severe housing problems CI low
v136_cihigh,Severe housing problems CI high
v136_other_data_1,Percentage of households with high housing costs
v136_other_data_1_cilow,Percentage of households with high housing costs CI low
v136_other_data_1_cihigh,Percentage of households with high housing costs CI high
v136_other_data_2,Percentage of households with overcrowding
v136_other_data_2_cilow,Percentage of households with overcrowding CI low
v136_other_data_2_cihigh,Percentage of households with overcrowding CI high
v136_other_data_3,Percentage of households with lack of kitchen or plumbing facilities
v136_other_data_3_cilow,Percentage of households with lack of kitchen or plumbing facilities CI low
v136_other_data_3_cihigh,Percentage of households with lack of kitchen or plumbing facilities CI high
v067_rawvalue,Driving alone to work raw value
v067_numerator,Driving alone to work numerator
v067_denominator,Driving alone to work denominator
v067_cilow,Driving alone to work CI low
v067_cihigh,Driving alone to work CI high
v067_race_aian,Driving alone to work (AIAN)
v067_race_aian_cilow,Driving alone to work CI low (AIAN)
v067_race_aian_cihigh,Driving alone to work CI high (AIAN)
v067_race_asian,Driving alone to work (Asian/Pacific Islander)
v067_race_asian_cilow,Driving alone to work CI low (Asian/Pacific Islander)
v067_race_asian_cihigh,Driving alone to work CI high (Asian/Pacific Islander)
v067_race_black,Driving alone to work (Black)
v067_race_black_cilow,Driving alone to work CI low (Black)
v067_race_black_cihigh,Driving alone to work CI high (Black)
v067_race_hispanic,Driving alone to work (Hispanic)
v067_race_hispanic_cilow,Driving alone to work CI low (Hispanic)
v067_race_hispanic_cihigh,Driving alone to work CI high (Hispanic)
v067_race_white,Driving alone to work (White)
v067_race_white_cilow,Driving alone to work CI low (White)
v067_race_white_cihigh,Driving alone to work CI high (White)
v137_rawvalue,Long commute - driving alone raw value
v137_numerator,Long commute - driving alone numerator
v137_denominator,Long commute - driving alone denominator
v137_cilow,Long commute - driving alone CI low
v137_cihigh,Long commute - driving alone CI high
v147_rawvalue,Life expectancy raw value
v147_numerator,Life expectancy numerator
v147_denominator,Life expectancy denominator
v147_cilow,Life expectancy CI low
v147_cihigh,Life expectancy CI high
v147_race_aian,Life expectancy (AIAN)
v147_race_aian_cilow,Life expectancy CI low (AIAN)
v147_race_aian_cihigh,Life expectancy CI high (AIAN)
v147_race_asian,Life expectancy (Asian/Pacific Islander)
v147_race_asian_cilow,Life expectancy CI low (Asian/Pacific Islander)
v147_race_asian_cihigh,Life expectancy CI high (Asian/Pacific Islander)
v147_race_black,Life expectancy (Black)
v147_race_black_cilow,Life expectancy CI low (Black)
v147_race_black_cihigh,Life expectancy CI high (Black)
v147_race_hispanic,Life expectancy (Hispanic)
v147_race_hispanic_cilow,Life expectancy CI low (Hispanic)
v147_race_hispanic_cihigh,Life expectancy CI high (Hispanic)
v147_race_white,Life expectancy (White)
v147_race_white_cilow,Life expectancy CI low (White)
v147_race_white_cihigh,Life expectancy CI high (White)
v127_rawvalue,Premature age-adjusted mortality raw value
v127_numerator,Premature age-adjusted mortality numerator
v127_denominator,Premature age-adjusted mortality denominator
v127_cilow,Premature age-adjusted mortality CI low
v127_cihigh,Premature age-adjusted mortality CI high
v127_race_aian,Premature age-adjusted mortality (AIAN)
v127_race_aian_cilow,Premature age-adjusted mortality CI low (AIAN)
v127_race_aian_cihigh,Premature age-adjusted mortality CI high (AIAN)
v127_race_asian,Premature age-adjusted mortality (Asian/Pacific Islander)
v127_race_asian_cilow,Premature age-adjusted mortality CI low (Asian/Pacific Islander)
v127_race_asian_cihigh,Premature age-adjusted mortality CI high (Asian/Pacific Islander)
v127_race_black,Premature age-adjusted mortality (Black)
v127_race_black_cilow,Premature age-adjusted mortality CI low (Black)
v127_race_black_cihigh,Premature age-adjusted mortality CI high (Black)
v127_race_hispanic,Premature age-adjusted mortality (Hispanic)
v127_race_hispanic_cilow,Premature age-adjusted mortality CI low (Hispanic)
v127_race_hispanic_cihigh,Premature age-adjusted mortality CI high (Hispanic)
v127_race_white,Premature age-adjusted mortality (White)
v127_race_white_cilow,Premature age-adjusted mortality CI low (White)
v127_race_white_cihigh,Premature age-adjusted mortality CI high (White)
v128_rawvalue,Child mortality raw value
v128_numerator,Child mortality numerator
v128_denominator,Child mortality denominator
v128_cilow,Child mortality CI low
v128_cihigh,Child mortality CI high
v128_race_aian,Child mortality (AIAN)
v128_race_aian_cilow,Child mortality CI low (AIAN)
v128_race_aian_cihigh,Child mortality CI high (AIAN)
v128_race_asian,Child mortality (Asian/Pacific Islander)
v128_race_asian_cilow,Child mortality CI low (Asian/Pacific Islander)
v128_race_asian_cihigh,Child mortality CI high (Asian/Pacific Islander)
v128_race_black,Child mortality (Black)
v128_race_black_cilow,Child mortality CI low (Black)
v128_race_black_cihigh,Child mortality CI high (Black)
v128_race_hispanic,Child mortality (Hispanic)
v128_race_hispanic_cilow,Child mortality CI low (Hispanic)
v128_race_hispanic_cihigh,Child mortality CI high (Hispanic)
v128_race_white,Child mortality (White)
v128_race_white_cilow,Child mortality CI low (White)
v128_race_white_cihigh,Child mortality CI high (White)
v129_rawvalue,Infant mortality raw value
v129_numerator,Infant mortality numerator
v129_denominator,Infant mortality denominator
v129_cilow,Infant mortality CI low
v129_cihigh,Infant mortality CI high
v129_race_aian,Infant mortality (AIAN)
v129_race_aian_cilow,Infant mortality CI low (AIAN)
v129_race_aian_cihigh,Infant mortality CI high (AIAN)
v129_race_asian,Infant mortality (Asian/Pacific Islander)
v129_race_asian_cilow,Infant mortality CI low (Asian/Pacific Islander)
v129_race_asian_cihigh,Infant mortality CI high (Asian/Pacific Islander)
v129_race_black,Infant mortality (Black)
v129_race_black_cilow,Infant mortality CI low (Black)
v129_race_black_cihigh,Infant mortality CI high (Black)
v129_race_hispanic,Infant mortality (Hispanic)
v129_race_hispanic_cilow,Infant mortality CI low (Hispanic)
v129_race_hispanic_cihigh,Infant mortality CI high (Hispanic)
v129_race_white,Infant mortality (White)
v129_race_white_cilow,Infant mortality CI low (White)
v129_race_white_cihigh,Infant mortality CI high (White)
v144_rawvalue,Frequent physical distress raw value
v144_numerator,Frequent physical distress numerator
v144_denominator,Frequent physical distress denominator
v144_cilow,Frequent physical distress CI low
v144_cihigh,Frequent physical distress CI high
v145_rawvalue,Frequent mental distress raw value
v145_numerator,Frequent mental distress numerator
v145_denominator,Frequent mental distress denominator
v145_cilow,Frequent mental distress CI low
v145_cihigh,Frequent mental distress CI high
v060_rawvalue,Diabetes prevalence raw value
v060_numerator,Diabetes prevalence numerator
v060_denominator,Diabetes prevalence denominator
v060_cilow,Diabetes prevalence CI low
v060_cihigh,Diabetes prevalence CI high
v061_rawvalue,HIV prevalence raw value
v061_numerator,HIV prevalence numerator
v061_denominator,HIV prevalence denominator
v061_cilow,HIV prevalence CI low
v061_cihigh,HIV prevalence CI high
v139_rawvalue,Food insecurity raw value
v139_numerator,Food insecurity numerator
v139_denominator,Food insecurity denominator
v139_cilow,Food insecurity CI low
v139_cihigh,Food insecurity CI high
v083_rawvalue,Limited access to healthy foods raw value
v083_numerator,Limited access to healthy foods numerator
v083_denominator,Limited access to healthy foods denominator
v083_cilow,Limited access to healthy foods CI low
v083_cihigh,Limited access to healthy foods CI high
v138_rawvalue,Drug overdose deaths raw value
v138_numerator,Drug overdose deaths numerator
v138_denominator,Drug overdose deaths denominator
v138_cilow,Drug overdose deaths CI low
v138_cihigh,Drug overdose deaths CI high
v138_race_aian,Drug overdose deaths (AIAN)
v138_race_aian_cilow,Drug overdose deaths CI low (AIAN)
v138_race_aian_cihigh,Drug overdose deaths CI high (AIAN)
v138_race_asian,Drug overdose deaths (Asian/Pacific Islander)
v138_race_asian_cilow,Drug overdose deaths CI low (Asian/Pacific Islander)
v138_race_asian_cihigh,Drug overdose deaths CI high (Asian/Pacific Islander)
v138_race_black,Drug overdose deaths (Black)
v138_race_black_cilow,Drug overdose deaths CI low (Black)
v138_race_black_cihigh,Drug overdose deaths CI high (Black)
v138_race_hispanic,Drug overdose deaths (Hispanic)
v138_race_hispanic_cilow,Drug overdose deaths CI low (Hispanic)
v138_race_hispanic_cihigh,Drug overdose deaths CI high (Hispanic)
v138_race_white,Drug overdose deaths (White)
v138_race_white_cilow,Drug overdose deaths CI low (White)
v138_race_white_cihigh,Drug overdose deaths CI high (White)
v039_rawvalue,Motor vehicle crash deaths raw value
v039_numerator,Motor vehicle crash deaths numerator
v039_denominator,Motor vehicle crash deaths denominator
v039_cilow,Motor vehicle crash deaths CI low
v039_cihigh,Motor vehicle crash deaths CI high
v039_race_aian,Motor vehicle crash deaths (AIAN)
v039_race_aian_cilow,Motor vehicle crash deaths CI low (AIAN)
v039_race_aian_cihigh,Motor vehicle crash deaths CI high (AIAN)
v039_race_asian,Motor vehicle crash deaths (Asian/Pacific Islander)
v039_race_asian_cilow,Motor vehicle crash deaths CI low (Asian/Pacific Islander)
v039_race_asian_cihigh,Motor vehicle crash deaths CI high (Asian/Pacific Islander)
v039_race_black,Motor vehicle crash deaths (Black)
v039_race_black_cilow,Motor vehicle crash deaths CI low (Black)
v039_race_black_cihigh,Motor vehicle crash deaths CI high (Black)
v039_race_hispanic,Motor vehicle crash deaths (Hispanic)
v039_race_hispanic_cilow,Motor vehicle crash deaths CI low (Hispanic)
v039_race_hispanic_cihigh,Motor vehicle crash deaths CI high (Hispanic)
v039_race_white,Motor vehicle crash deaths (White)
v039_race_white_cilow,Motor vehicle crash deaths CI low (White)
v039_race_white_cihigh,Motor vehicle crash deaths CI high (White)
v143_rawvalue,Insufficient sleep raw value
v143_numerator,Insufficient sleep numerator
v143_denominator,Insufficient sleep denominator
v143_cilow,Insufficient sleep CI low
v143_cihigh,Insufficient sleep CI high
v003_rawvalue,Uninsured adults raw value
v003_numerator,Uninsured adults numerator
v003_denominator,Uninsured adults denominator
v003_cilow,Uninsured adults CI low
v003_cihigh,Uninsured adults CI high
v122_rawvalue,Uninsured children raw value
v122_numerator,Uninsured children numerator
v122_denominator,Uninsured children denominator
v122_cilow,Uninsured children CI low
v122_cihigh,Uninsured children CI high
v131_rawvalue,Other primary care providers raw value
v131_numerator,Other primary care providers numerator
v131_denominator,Other primary care providers denominator
v131_cilow,Other primary care providers CI low
v131_cihigh,Other primary care providers CI high
v131_other_data_1,Ratio of population to primary care providers other than physicians.
v021_rawvalue,High school graduation raw value
v021_numerator,High school graduation numerator
v021_denominator,High school graduation denominator
v021_cilow,High school graduation CI low
v021_cihigh,High school graduation CI high
v149_rawvalue,Disconnected youth raw value
v149_numerator,Disconnected youth numerator
v149_denominator,Disconnected youth denominator
v149_cilow,Disconnected youth CI low
v149_cihigh,Disconnected youth CI high
v159_rawvalue,Reading scores raw value
v159_numerator,Reading scores numerator
v159_denominator,Reading scores denominator
v159_cilow,Reading scores CI low
v159_cihigh,Reading scores CI high
v159_race_aian,Reading scores (AIAN)
v159_race_asian,Reading scores (Asian/Pacific Islander)
v159_race_black,Reading scores (Black)
v159_race_hispanic,Reading scores (Hispanic)
v159_race_white,Reading scores (White)
v160_rawvalue,Math scores raw value
v160_numerator,Math scores numerator
v160_denominator,Math scores denominator
v160_cilow,Math scores CI low
v160_cihigh,Math scores CI high
v160_race_aian,Math scores (AIAN)
v160_race_asian,Math scores (Asian/Pacific Islander)
v160_race_black,Math scores (Black)
v160_race_hispanic,Math scores (Hispanic)
v160_race_white,Math scores (White)
v063_rawvalue,Median household income raw value
v063_numerator,Median household income numerator
v063_denominator,Median household income denominator
v063_cilow,Median household income CI low
v063_cihigh,Median household income CI high
v063_race_aian,Median household income (AIAN)
v063_race_aian_cilow,Median household income CI low (AIAN)
v063_race_aian_cihigh,Median household income CI high (AIAN)
v063_race_asian,Median household income (Asian)
v063_race_asian_cilow,Median household income CI low (Asian)
v063_race_asian_cihigh,Median household income CI high (Asian)
v063_race_black,Median household income (Black)
v063_race_black_cilow,Median household income CI low (Black)
v063_race_black_cihigh,Median household income CI high (Black)
v063_race_hispanic,Median household income (Hispanic)
v063_race_hispanic_cilow,Median household income CI low (Hispanic)
v063_race_hispanic_cihigh,Median household income CI high (Hispanic)
v063_race_white,Median household income (White)
v063_race_white_cilow,Median household income CI low (White)
v063_race_white_cihigh,Median household income CI high (White)
v065_rawvalue,Children eligible for free or reduced price lunch raw value
v065_numerator,Children eligible for free or reduced price lunch numerator
v065_denominator,Children eligible for free or reduced price lunch denominator
v065_cilow,Children eligible for free or reduced price lunch CI low
v065_cihigh,Children eligible for free or reduced price lunch CI high
v141_rawvalue,Residential segregation - Black/White raw value
v141_numerator,Residential segregation - Black/White numerator
v141_denominator,Residential segregation - Black/White denominator
v141_cilow,Residential segregation - Black/White CI low
v141_cihigh,Residential segregation - Black/White CI high
v142_rawvalue,Residential segregation - non-White/White raw value
v142_numerator,Residential segregation - non-White/White numerator
v142_denominator,Residential segregation - non-White/White denominator
v142_cilow,Residential segregation - non-White/White CI low
v142_cihigh,Residential segregation - non-White/White CI high
v015_rawvalue,Homicides raw value
v015_numerator,Homicides numerator
v015_denominator,Homicides denominator
v015_cilow,Homicides CI low
v015_cihigh,Homicides CI high
v015_race_aian,Homicides (AIAN)
v015_race_aian_cilow,Homicides CI low (AIAN)
v015_race_aian_cihigh,Homicides CI high (AIAN)
v015_race_asian,Homicides (Asian/Pacific Islander)
v015_race_asian_cilow,Homicides CI low (Asian/Pacific Islander)
v015_race_asian_cihigh,Homicides CI high (Asian/Pacific Islander)
v015_race_black,Homicides (Black)
v015_race_black_cilow,Homicides CI low (Black)
v015_race_black_cihigh,Homicides CI high (Black)
v015_race_hispanic,Homicides (Hispanic)
v015_race_hispanic_cilow,Homicides CI low (Hispanic)
v015_race_hispanic_cihigh,Homicides CI high (Hispanic)
v015_race_white,Homicides (White)
v015_race_white_cilow,Homicides CI low (White)
v015_race_white_cihigh,Homicides CI high (White)
v161_rawvalue,Suicides raw value
v161_numerator,Suicides numerator
v161_denominator,Suicides denominator
v161_cilow,Suicides CI low
v161_cihigh,Suicides CI high
v161_other_data_1,Crude suicide rate
v161_race_aian,Suicides (AIAN)
v161_race_aian_cilow,Suicides CI low (AIAN)
v161_race_aian_cihigh,Suicides CI high (AIAN)
v161_race_asian,Suicides (Asian/Pacific Islander)
v161_race_asian_cilow,Suicides CI low (Asian/Pacific Islander)
v161_race_asian_cihigh,Suicides CI high (Asian/Pacific Islander)
v161_race_black,Suicides (Black)
v161_race_black_cilow,Suicides CI low (Black)
v161_race_black_cihigh,Suicides CI high (Black)
v161_race_hispanic,Suicides (Hispanic)
v161_race_hispanic_cilow,Suicides CI low (Hispanic)
v161_race_hispanic_cihigh,Suicides CI high (Hispanic)
v161_race_white,Suicides (White)
v161_race_white_cilow,Suicides CI low (White)
v161_race_white_cihigh,Suicides CI high (White)
v148_rawvalue,Firearm fatalities raw value
v148_numerator,Firearm fatalities numerator
v148_denominator,Firearm fatalities denominator
v148_cilow,Firearm fatalities CI low
v148_cihigh,Firearm fatalities CI high
v148_race_aian,Firearm fatalities (AIAN)
v148_race_aian_cilow,Firearm fatalities CI low (AIAN)
v148_race_aian_cihigh,Firearm fatalities CI high (AIAN)
v148_race_asian,Firearm fatalities (Asian/Pacific Islander)
v148_race_asian_cilow,Firearm fatalities CI low (Asian/Pacific Islander)
v148_race_asian_cihigh,Firearm fatalities CI high (Asian/Pacific Islander)
v148_race_black,Firearm fatalities (Black)
v148_race_black_cilow,Firearm fatalities CI low (Black)
v148_race_black_cihigh,Firearm fatalities CI high (Black)
v148_race_hispanic,Firearm fatalities (Hispanic)
v148_race_hispanic_cilow,Firearm fatalities CI low (Hispanic)
v148_race_hispanic_cihigh,Firearm fatalities CI high (Hispanic)
v148_race_white,Firearm fatalities (White)
v148_race_white_cilow,Firearm fatalities CI low (White)
v148_race_white_cihigh,Firearm fatalities CI high (White)
v158_rawvalue,Juvenile arrests raw value
v158_numerator,Juvenile arrests numerator
v158_denominator,Juvenile arrests denominator
v158_cilow,Juvenile arrests CI low
v158_cihigh,Juvenile arrests CI high
v158_other_data_1,Number of juvenile delinquency cases formally processed by a juvenile court
v158_other_data_2,Number of informally handled juvenile delinquency cases
v156_rawvalue,Traffic volume raw value
v156_numerator,Traffic volume numerator
v156_denominator,Traffic volume denominator
v156_cilow,Traffic volume CI low
v156_cihigh,Traffic volume CI high
v153_rawvalue,Homeownership raw value
v153_numerator,Homeownership numerator
v153_denominator,Homeownership denominator
v153_cilow,Homeownership CI low
v153_cihigh,Homeownership CI high
v154_rawvalue,Severe housing cost burden raw value
v154_numerator,Severe housing cost burden numerator
